Asana,Benefits
Dwi pada sirsasana,"1. This yoga pose helps to increase the blood flow in our body and improves the level of hemoglobin in blood. It removes toxin foo the blood and other benefits with proper blood flow.
2. This yoga pose is very good for the people who are suffering with a problem called nervous trembling.
3. Dwi pada srisasana actives the heat inside your body and helps your digestion to work properly.
4. This yoga pose is best to make your body more flexible.
5. This yoga pose is very good for people suffering from diabeties and also being used as a treatment in many yoga teachers training in india.
6. As good amount of proper breathe is included in this pose and thus helps to treat lung diseases and sinuses."
Swarga dwijasana,"1. This pose strengthens the legs and core. It stretches the arms and opens the hips and hamstrings.
2. It also improves balance. It's not a position you will often find yourself in daily life, but you will be more ready to meet any balance challenges that come your way.
3. Traditionally, it is said to open the sacral chakra and the root chakra."
Ashwathasana,"1) the movement of gases are regulated. Oxygen enters the body in sufficient quantity and polluted air comes out of the body.
2) this ashwathasa asana provides beauty and health to the body.
3) by performing this ashwathasana asana, all the diseases goes away from the body."
Yastikasana,"1) it aids better circulation of blood.
2) tones the usually relaxed abdominal and pelvic muscles.
3) the thoracic area opens up and improves breathing
4) helps in correcting the faulty posture of rounded or drooping shoulders"
Nataprathanasana,"1) it creates flexibility of your hip and knee joints.
2) the muscles of your legs are strengthened.
3) it enhances the balancing capacity of your body.
4) it is excellent for women’s health.
5) it strengthens your lower back muscles.

therapeutic

1) it helps relieve flat feet pain.
2) it helps to maintain spinal curvature.

psychological

1) it brings about a balanced state of mind.
2) it brings your mind to the present moment.
3) it brings about a sense of humility and gratitude.
4) it creates awareness and concentration"
Chakki chalanasana,"1) a good preventive for sciatica
2) tones the back, abs and arm muscles
3) opens up the chest and groin
4) tones the uterine muscles in females, so it is very useful in preventing painful cycles if practiced regularly
5) consistent practice helps reduce abdominal fat"
Ushtrasana,"1) improves digestion.
2) stretches and opens the front of the body. It also strengthens the back and shoulders.
3) relieves the body of lower back ache.
4) improves flexibility of the spine and also improves posture.
5) helps overcome menstrual discomfort."
Talasana,"1) clears up congestion: the stretch of the spinal bone promotes proper growth and clears up congestion of the spinal nerves at the points at which they emerge from the spinal column.
2) improves digestion: it stretches the abdominal muscles and hence tones these muscles improving digestion.
3) mimproves pulmonary functions: the chest is expanded thus giving room for clear passage for breathing from the diaphragm. This in turn cures asthma and heavy breathing.
4) stimulates nervous system: helps to give control over muscular movement and stimulates the entire nervous system of the body."
Padma mudra,"1) inspires purity and perseverance by representing the lotus flower floating above the muddy waters of desire, fear, and attachment
2) reminds you of the natural beauty of your soul
3) calms the mind"
Brahmandasana,"1) cosmic egg yoga pose or brahmandasana is more challenging than wind release pose since the feet are off the ground, and so it strengthens the pelvic area.
2) core muscles are engaged all the time and hence, it improves the core strength and prepares for other poses like navasana.
3) holding the pose for a longer period of time calms the mind and balances the emotions.
4) this pose is beneficial, and can be practiced by both kids and teenagers."
Jala neti ( shatkarma ),"1) neti helps to maintain the nasal hygiene by removing the dirt and bacteria trapped along with the mucus in the nostrils.
2) neti de-sensitizes the sensitive tissues inside the nose, which can alleviate rhinitis, allergies and some asthmas.
3) several health problems like sinusitis, migraine, headaches, ear problems like tinitis and middle ear infections can be reduced by doing neti.
4) it can alleviate upper respiratory complaints, sore throats, tonsils and dry coughs.
5) it can clear the eye ducts and improve vision."
Sheetkrama kapalbhati,"1) sheetkrama kapalbhati cleans the mucous from the nasal cavity and throat.
2) in gheranda samhita, it is mentioned that this practice removes the wrinkles of the face and makes the face glow. It also mentions that the person who practices sheetkrama kapalbhati can overcome disease and old age.
3) it removes the kapha dosha (as per ayurveda) and gives good health and vigour to the body.
4) spiritual benefits include activating some energy centers in the brain which have trigger points in the nasopharynx. It is said to activate the bindu chakra at the back of the head. When this center is awakened, nectar or amrit flows and makes the body immortal."
Vastra dhauti,"1) vastra dhauti removes impurities from the intestinal tract, thereby detoxifying the stomach and esophagus regions.
2) it helps to remove gas, acidity, indigestion and enlargement of spleen.
3) it helps to relieve asthma, bronchitis, cough and other ‘kapha’ or phlegm related problems."
Trataka,"1) trataka is good for the eyes. It strengthens the muscles surrounding the eyes and helps to get rid of mild eye problems like short sightedness.
2) trataka removes insomnia. Practicing this few minutes before sleep can improve the quality of sleep.
3) trataka removes distractions in the mind. It can make the mind calm and steady, thereby increasing the power of concentration.
4) it improves mental and nervous stability"
Somachandrasana,"1. Stretches and strengthens: with this hip opener, in nectar of the moon pose i, the hamstrings, quadriceps, psoas, core, and gluteus maximus are stretched and strengthened. It helps with the flexibility of these muscles supporting the hips for further challenging poses.
2 heart opener: the stretching of the arms and shoulders helps expand the chest and open the heart center.
3. Grounding: since nectar of the moon pose i is a partial lunge with a gentle twist, it helps to connect deeper to the ground, rooting a deeper sensation of being connected to the earth.
4. Spine and lower back: this pose elongates the spine and strengthens the base of the spine while also using the core muscles in the posture, for better support.
5. Awareness, focus and balance: balancing on arms and hips needs awareness that helps with focus and balance.this focus and balance will further help with more challenging yoga poses.
6. Tones: the deep stretching of the muscles like the hamstrings, quadriceps, gluteus maximus, and core muscles tones the body. The glutes have a great role in the movements of the lower limbs, hence the stronger the buttock muscles the stronger and well toned legs. These toned buttock muscles also supports the abdominal muscles keeping them toned."
Gherandasana ,"1. Gherandasana ii benefits the following muscles and hence can be included in yoga sequences with the corresponding muscle(s) focus:
arms and shoulders
biceps and triceps
core (abs)
2. Stretches the entire front of the body, ankles, thighs and groins, abdomen and chest, and throat, and deep hip flexors (psoas). Strengthens the back muscles."
Kapilasana,"1. Helps in stretching legs, hamstrings, arms, chest, back, and shoulder muscles
2. Strengthens the muscles by improving blood flow
3. Helps in learning how to cultivate a calm and chaos-free mind
4. Improves the meditative state
5. Maintains the five chakras of muladhara, svadisthana, manipura, anahata and visuddha
6. Effectively improves body’s stability and coordination"
Omkarasana,"It relieves the pain of hands and feet( it is helpful in rheumatism). It gives strength to liver and wrists.
when we will practice this yoga , our hand will increase strength . This yoga removes us our hand leg pain . It helps us nerve . It can comfortable for all work .it helps us our mind satifatustion . It increase our body growth . It helps us breath . It increase our meditation . It increase us our eye power to strength."
Kashyapawsana,"1. This asana provides a deep muscular massage to the abdomen, toning the digestive organs.
2. Manipura chakra and samana are activated.
3. A sense of balance and concentration is developed.
4. This asana alleviates disorders of the large intestine and stimulates the digestive fire."
Bhunamanasana,"1. Bhunamanasana stretches and improves the flexibility of the shoulders, spine, and lower back, stimulating the nerves.
2. This asana strengthens and improves the flexibility of the lumbar and thoracic parts of the spine while maintaining its mobility.
3. Regular practice of the spinal twist prostration pose can correct the alignment of the hip joints.
4. This asana is also believed to improve a sluggish and fatty liver."
Mandalasana,"1) stretches, strengthens and lengthens: mandalasana (circle pose) have the arms and head in a fixed position, but with the lower body being active creating a circle with the feet. This dynamic movement engages the muscles of the legs, psoas, pelvis, core, and back. However, while these muscles stretch, lengthen and contract, the main strength comes from the muscles of the neck, shoulders, arms, and upper back. In the process the spine remains active, moving in all directions.

2) flexibility and range of motion: circle pose involves the lower body rotation, this works on the flexibility of the spine, neck, hips, shoulders, knees and ankles. The 360 degree range of motion of the lower body is only possible with the flexible muscles mentioned above, however, with time, these very involved muscles gain better range of motion, making the practice of mandalasana even more smooth and comfortable.

3) awareness, balance and emotion: in addition to the physical benefits, the practice of mandalasana impacts the body at the emotional level. Apart from the strength and flexibility of the involved muscles and joints, the awareness of breath-body-mind connections plays a very important role. With this awareness, students would be safe from any injury during the dynamic movement. When the breath-body-mind is in sync, students will have better control over their thoughts during this practice, and with time, the same control can be achieved for activities related to the day (when off the mat). When the physical body is under control, there is a sense of sthiram and sukham that helps set the mind towards emotional well being too. It promotes blood circulation to the brain thereby giving the mind better clarity. Performance of this pose requires a greater amount of concentration; this will improve concentration and promote mental balance."
